# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 0.50 degrees
# Total Points: 161 x 161 = 25921
# Timestamp: 20260204_125453
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-39.50,-17.50,0.00,-0.00,377.86,1869.56,-0.00,187.35,1737.59,1874.96,2158.00
-39.50,-17.00,0.00,0.00,392.07,1861.21,0.00,182.21,1749.18,1867.71,2158.00
-39.50,-16.50,0.00,-0.00,406.21,1853.14,-0.00,177.07,1760.77,1860.63,2158.00
-39.50,-16.00,0.00,0.00,420.27,1845.35,-0.00,171.92,1772.38,1853.72,2158.00
-39.50,-15.50,0.00,-0.00,434.27,1837.83,-0.00,166.77,1784.00,1846.99,2158.00
-39.50,-15.00,0.00,0.00,448.20,1830.57,-0.00,161.61,1795.63,1840.43,2158.00
-39.50,-14.50,0.00,-0.00,462.06,1823.59,0.00,156.44,1807.27,1834.03,2158.00
-39.50,-14.00,0.00,0.00,475.86,1816.86,-0.00,151.27,1818.93,1827.82,2158.00
-39.50,-13.50,0.00,0.00,489.60,1810.40,0.00,146.09,1830.61,1821.77,2158.00
-39.50,-13.00,0.00,0.00,503.28,1804.19,0.00,140.90,1842.31,1815.90,2158.00
-39.50,-12.50,0.00,-0.00,516.91,1798.24,-0.00,135.70,1854.03,1810.20,2158.00
-39.50,-12.00,0.00,-0.00,530.49,1792.54,0.00,130.49,1865.78,1804.67,2158.00
-39.50,-11.50,0.00,0.00,544.01,1787.09,0.00,125.27,1877.55,1799.32,2158.00
-39.50,-11.00,0.00,-0.00,557.49,1781.89,-0.00,120.04,1889.35,1794.15,2158.00
-39.50,-10.50,0.00,-0.00,570.92,1776.93,0.00,114.79,1901.18,1789.15,2158.00
-39.50,-10.00,0.00,-0.00,584.31,1772.22,-0.00,109.53,1913.04,1784.33,2158.00
