# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 1.00 degrees
# Total Points: 81 x 81 = 6561
# Timestamp: 20260204_100304
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-38.00,14.00,0.00,142.39,1020.27,1720.03,0.00,0.00,2158.00,1696.86,1635.12
-38.00,15.00,0.00,151.40,1032.39,1719.42,-0.00,-0.00,2158.00,1694.65,1601.08
-38.00,16.00,0.00,160.30,1044.36,1719.54,0.00,-0.00,2158.00,1693.28,1567.31
-38.00,17.00,0.00,169.10,1056.19,1720.39,0.00,0.00,2158.00,1692.75,1533.78
-38.00,18.00,0.00,177.81,1067.90,1721.92,-0.00,-0.00,2158.00,1693.05,1500.47
-38.00,19.00,0.00,186.43,1079.49,1724.13,-0.00,-0.00,2158.00,1694.17,1467.36
-38.00,20.00,0.00,194.97,1090.97,1727.00,0.00,-0.00,2158.00,1696.10,1434.42
-38.00,21.00,0.00,203.44,1102.36,1730.51,0.00,0.00,2158.00,1698.84,1401.64
-38.00,22.00,0.00,211.84,1113.65,1734.64,0.00,-0.00,2158.00,1702.38,1368.99
-38.00,23.00,0.00,220.18,1124.86,1739.39,0.00,0.00,2158.00,1706.72,1336.46
-38.00,24.00,0.00,228.46,1136.00,1744.74,0.00,0.00,2158.00,1711.87,1304.01
-38.00,25.00,0.00,236.70,1147.07,1750.67,-0.00,-0.00,2158.00,1717.82,1271.64
-38.00,26.00,0.00,244.88,1158.07,1757.19,-0.00,-0.00,2158.00,1724.57,1239.32
-38.00,27.00,0.00,253.03,1169.03,1764.28,0.00,0.00,2158.00,1732.13,1207.03
-38.00,28.00,0.00,261.14,1179.93,1771.94,0.00,0.00,2158.00,1740.50,1174.76
-38.00,29.00,0.00,269.22,1190.80,1780.15,-0.00,-0.00,2158.00,1749.68,1142.48
-38.00,30.00,0.00,277.28,1201.64,1788.92,-0.00,-0.00,2158.00,1759.68,1110.17
-38.00,31.00,0.00,285.32,1212.44,1798.23,0.00,-0.00,2158.00,1770.51,1077.82
-38.00,32.00,0.00,293.35,1223.23,1808.10,-0.00,-0.00,2158.00,1782.17,1045.40
-38.00,33.00,0.00,301.36,1234.01,1818.51,0.00,-0.00,2158.00,1794.68,1012.89
-38.00,34.00,0.00,309.37,1244.78,1829.46,0.00,-0.00,2158.00,1808.05,980.28
-38.00,35.00,0.00,317.38,1255.55,1840.95,0.00,0.00,2158.00,1822.29,947.54
-38.00,36.00,0.00,325.40,1266.33,1852.99,0.00,-0.00,2158.00,1837.42,914.66
-38.00,37.00,0.00,333.42,1277.12,1865.58,0.00,-0.00,2158.00,1853.45,881.60
-38.00,38.00,0.00,341.46,1287.93,1878.71,-0.00,-0.00,2158.00,1870.39,848.35
-38.00,39.00,0.00,349.52,1298.76,1892.39,0.00,0.00,2158.00,1888.27,814.90
-38.00,40.00,0.00,357.61,1309.63,1906.62,-0.00,0.00,2158.00,1907.11,781.20
-37.00,-40.00,0.00,0.00,-0.00,2194.48,482.37,382.68,1343.37,2116.35,2158.00
-37.00,-39.00,0.00,0.00,-0.00,2203.98,440.60,376.94,1355.63,2123.93,2158.00
-37.00,-38.00,0.00,-0.00,-0.00,2214.64,397.96,371.13,1368.05,2132.41,2158.00
-37.00,-37.00,0.00,-0.00,0.00,2226.51,354.37,365.25,1380.63,2141.86,2158.00
-37.00,-36.00,0.00,-0.00,0.00,2239.64,309.78,359.28,1393.39,2152.31,2158.00
-37.00,-35.00,0.00,-0.00,-0.00,2254.07,264.13,353.22,1406.33,2163.81,2158.00
-37.00,-34.00,0.00,-0.00,0.00,2269.87,217.35,347.07,1419.47,2176.42,2158.00
-37.00,-33.00,0.00,0.00,-0.00,2287.09,169.38,340.82,1432.83,2190.21,2158.00
-37.00,-32.00,0.00,0.00,0.00,2305.81,120.12,334.46,1446.41,2205.24,2158.00
-37.00,-31.00,0.00,0.00,0.00,2326.10,69.50,327.99,1460.23,2221.59,2158.00
-37.00,-30.00,0.00,0.00,-0.00,2348.03,17.44,321.40,1474.31,2239.34,2158.00
-37.00,-29.00,0.00,-0.00,22.13,2332.60,0.00,311.99,1494.40,2230.25,2158.00
-37.00,-28.00,0.00,-0.00,54.56,2299.75,0.00,301.29,1517.23,2208.22,2158.00
-37.00,-27.00,0.00,-0.00,86.40,2268.54,-0.00,290.64,1539.95,2186.98,2158.00
-37.00,-26.00,0.00,-0.00,117.68,2238.92,-0.00,280.04,1562.56,2166.51,2158.00
